month,muito negativo,negativo,neutro,positivo,muito positivo,n/a
2016-05,0,0,0,1,0,0
2016-08,0,0,0,1,0,0
2018-12,0,0,0,1,0,0
2019-01,0,0,0,5,0,0
2019-02,0,0,0,1,0,0
2019-06,0,0,0,1,0,0
2019-07,0,1,1,5,0,0
2019-08,0,1,0,1,0,0
2019-09,2,1,0,3,0,0
2019-10,0,0,0,5,0,0
2019-11,0,0,0,3,0,0
2019-12,0,0,1,3,0,0
2020-01,0,1,1,6,0,0
2020-02,0,0,0,3,0,0
2020-03,0,0,1,1,0,0
2020-04,0,1,0,1,0,0
2020-05,0,0,1,0,0,0
2020-06,1,0,0,2,0,0
2020-08,0,0,1,2,0,0
2020-09,1,1,0,3,0,0
2020-10,0,0,0,7,1,0
2020-11,0,1,0,9,0,1
2020-12,0,0,0,1,0,0
2021-01,0,1,0,2,0,0
2021-02,0,1,0,2,0,1
2021-03,0,0,1,1,0,0
2021-04,0,0,0,6,1,0
2021-05,0,2,0,6,0,0
2021-06,0,0,0,4,0,1
2021-07,0,1,0,9,0,2
2021-08,0,1,0,2,0,1
2021-09,0,1,0,5,0,0
2021-10,0,0,0,5,0,0
2021-11,0,0,0,3,0,0
2021-12,0,0,0,4,0,0
2022-01,0,1,0,5,0,0
2022-02,0,0,0,4,0,1
2022-03,2,1,1,12,0,1
2022-04,0,1,0,3,0,0
2022-05,1,0,0,4,0,0
2022-06,0,2,0,3,0,0
2022-07,0,0,0,7,0,0
2022-08,0,2,0,7,0,0
2022-09,0,1,0,4,0,1
2022-10,0,1,0,1,0,0
2022-11,1,0,0,2,0,0
2022-12,0,2,0,2,0,0
2023-01,0,1,0,5,0,0
2023-02,0,0,0,6,0,0
2023-03,0,2,0,10,0,0
2023-04,1,4,0,1,0,0
2023-05,0,2,0,1,0,0
2023-06,0,1,0,3,0,0
2023-07,0,0,0,2,0,0
2023-08,0,1,0,1,0,0
2023-09,0,2,1,3,0,1
2023-10,0,3,0,3,0,0
2023-11,1,2,1,2,0,0
2023-12,0,1,0,1,0,0
2024-01,0,0,0,4,1,0
2024-02,0,2,0,7,0,0
2024-03,2,0,0,5,0,1
2024-04,0,4,1,1,0,0
2024-05,0,1,0,2,0,0
2024-06,1,1,0,1,0,1
2024-07,0,2,0,11,0,1
2024-08,1,5,2,4,0,2
2024-09,0,6,0,4,0,0
2024-10,2,2,0,10,0,0
2024-11,0,1,0,9,0,0
2024-12,1,4,0,5,0,0
2025-01,3,4,0,1,0,0
2025-02,0,8,0,13,0,0
2025-03,0,6,2,20,0,1
2025-04,0,5,2,9,0,2
2025-05,1,2,2,8,0,2
2025-06,0,0,0,4,0,0
2025-07,1,2,1,9,0,1
2025-08,0,3,0,16,0,0
2025-09,2,8,1,9,1,4
2025-10,0,5,0,17,0,2
2025-11,4,8,3,19,0,1
2025-12,3,4,0,9,0,1
2026-01,3,11,1,19,0,1
2026-02,6,5,0,27,0,2
2026-03,4,14,4,25,2,4
2026-04,0,5,1,11,1,3
2026-05,5,17,7,20,1,3
2026-06,0,2,0,4,0,1
